system:index,adm0_name,child_population_exposed,child_population_total,iso3,label,metric,population_total,ucode,.geo
6,Antarctica,0.0,0.0,ATA,heatwave_frequency_ecmwf_2014-2024,individual,0.0,ATA_V7,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,Tokelau,627.8673086456943,627.8673086456943,TKL,heatwave_frequency_ecmwf_2014-2024,individual,2014.402919239989,TKL_V2,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,Western Sahara,7102.914070239052,148932.15286032428,ESH,heatwave_frequency_ecmwf_2014-2024,individual,565209.8879479027,ESH_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,New Caledonia,44057.75651828656,73125.82198797836,NCL,heatwave_frequency_ecmwf_2014-2024,individual,286214.63240109663,NCL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,Clipperton Island,0.0,0.0,PYF,heatwave_frequency_ecmwf_2014-2024,individual,0.0,PYF1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,Saint Helena (Tristan da Cunha),0.0,0.0,SHN,heatwave_frequency_ecmwf_2014-2024,individual,0.0,SHN2_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,Saint Helena (Ascencion),0.0,0.0,SHN,heatwave_frequency_ecmwf_2014-2024,individual,0.0,SHN1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,Gibraltar,0.0,6320.710476004482,GIB,heatwave_frequency_ecmwf_2014-2024,individual,32201.5256533018,GIB_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,Saint Helena (Gough),0.0,0.0,SHN,heatwave_frequency_ecmwf_2014-2024,individual,0.0,SHN3_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,Saint Helena,0.0,854.5941989731934,SHN,heatwave_frequency_ecmwf_2014-2024,individual,5199.487445189212,SHN_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,American Samoa (USA),0.0,15601.739678215456,ASM,heatwave_frequency_ecmwf_2014-2024,individual,46000.704591681664,ASM_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,Guam (USA),31831.043598150107,50804.76540056684,GUM,heatwave_frequency_ecmwf_2014-2024,individual,168195.3960321047,GUM_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,Bi'r Tawīl,250.06046407669783,250.06046407669783,EGY,heatwave_frequency_ecmwf_2014-2024,individual,293.79977034032345,EGY1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,Greenland,4567.757970443985,6348.697077057339,GRL,heatwave_frequency_ecmwf_2014-2024,individual,24878.69900580517,GRL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,Arunachal Pradesh,201630.099685798,316064.96065364964,xAP,heatwave_frequency_ecmwf_2014-2024,individual,980113.5056940456,xAP_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,Senkaku Islands,0.0,0.0,xSK,heatwave_frequency_ecmwf_2014-2024,individual,0.0,xSK_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,Kuril Islands,1749.800016037746,3437.7050287807774,xRI,heatwave_frequency_ecmwf_2014-2024,individual,16865.05092428459,xRI_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,Hala'ib Triangle,4673.150434174075,4875.057169295198,SDN,heatwave_frequency_ecmwf_2014-2024,individual,11277.084853108128,SDN1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,Ilemi Triangle,2455.25929632516,2455.25929632516,SSD,heatwave_frequency_ecmwf_2014-2024,individual,10208.10353761562,SSD1_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,Abyei,46363.62194289577,81783.25820501274,xAB,heatwave_frequency_ecmwf_2014-2024,individual,119720.69199162384,xAB_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,Aksai Chin,869.9876680947402,3438.9182873868767,xAC,heatwave_frequency_ecmwf_2014-2024,individual,11530.730537227571,xAC_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,Jammu and Kashmir,1327970.4286689633,4724933.949900465,xJK,heatwave_frequency_ecmwf_2014-2024,individual,20485747.790387876,xJK_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,Sovereignty unsettled,42830.92723886087,42830.92723886087,xJL,heatwave_frequency_ecmwf_2014-2024,individual,126896.3835437921,xJL_V1,"{""type"":""MultiPoint"",""coordinates"":[]}"
